Country I,Country II,Conversion Path
usd,eur,usd-to-eur
usd,jpy,usd-to-jpy
usd,gbp,usd-to-gbp
usd,cny,usd-to-cny
usd,aud,usd-to-aud
usd,cad,usd-to-cad
usd,kwd,usd-to-kwd
usd,hkd,usd-to-hkd
usd,sgd,usd-to-sgd
usd,sek,usd-to-sek
usd,krw,usd-to-krw
usd,aed,usd-to-aed
usd,nzd,usd-to-nzd
usd,inr,usd-to-inr
usd,mxn,usd-to-mxn
usd,zar,usd-to-zar
usd,brl,usd-to-brl
eur,usd,eur-to-usd
eur,eur,eur-to-eur
eur,jpy,eur-to-jpy
eur,gbp,eur-to-gbp
eur,cny,eur-to-cny
eur,aud,eur-to-aud
eur,cad,eur-to-cad
eur,kwd,eur-to-kwd
eur,hkd,eur-to-hkd
eur,sgd,eur-to-sgd
eur,sek,eur-to-sek
eur,krw,eur-to-krw
eur,aed,eur-to-aed
eur,nzd,eur-to-nzd
eur,inr,eur-to-inr
eur,mxn,eur-to-mxn
eur,zar,eur-to-zar
eur,brl,eur-to-brl
jpy,usd,jpy-to-usd
jpy,eur,jpy-to-eur
jpy,jpy,jpy-to-jpy
jpy,gbp,jpy-to-gbp
jpy,cny,jpy-to-cny
jpy,aud,jpy-to-aud
jpy,cad,jpy-to-cad
jpy,kwd,jpy-to-kwd
jpy,hkd,jpy-to-hkd
jpy,sgd,jpy-to-sgd
jpy,sek,jpy-to-sek
jpy,krw,jpy-to-krw
jpy,aed,jpy-to-aed
jpy,nzd,jpy-to-nzd
jpy,inr,jpy-to-inr
jpy,mxn,jpy-to-mxn
jpy,zar,jpy-to-zar
jpy,brl,jpy-to-brl
gbp,usd,gbp-to-usd
gbp,eur,gbp-to-eur
gbp,jpy,gbp-to-jpy
gbp,gbp,gbp-to-gbp
gbp,cny,gbp-to-cny
gbp,aud,gbp-to-aud
gbp,cad,gbp-to-cad
gbp,kwd,gbp-to-kwd
gbp,hkd,gbp-to-hkd
gbp,sgd,gbp-to-sgd
gbp,sek,gbp-to-sek
gbp,krw,gbp-to-krw
gbp,aed,gbp-to-aed
gbp,nzd,gbp-to-nzd
gbp,inr,gbp-to-inr
gbp,mxn,gbp-to-mxn
gbp,zar,gbp-to-zar
gbp,brl,gbp-to-brl
cny,usd,cny-to-usd
cny,eur,cny-to-eur
cny,jpy,cny-to-jpy
cny,gbp,cny-to-gbp
cny,cny,cny-to-cny
cny,aud,cny-to-aud
cny,cad,cny-to-cad
cny,kwd,cny-to-kwd
cny,hkd,cny-to-hkd
cny,sgd,cny-to-sgd
cny,sek,cny-to-sek
cny,krw,cny-to-krw
cny,aed,cny-to-aed
cny,nzd,cny-to-nzd
cny,inr,cny-to-inr
cny,mxn,cny-to-mxn
cny,zar,cny-to-zar
cny,brl,cny-to-brl
aud,usd,aud-to-usd
aud,eur,aud-to-eur
aud,jpy,aud-to-jpy
aud,gbp,aud-to-gbp
aud,cny,aud-to-cny
aud,aud,aud-to-aud
aud,cad,aud-to-cad
aud,kwd,aud-to-kwd
aud,hkd,aud-to-hkd
aud,sgd,aud-to-sgd
aud,sek,aud-to-sek
aud,krw,aud-to-krw
aud,aed,aud-to-aed
aud,nzd,aud-to-nzd
aud,inr,aud-to-inr
aud,mxn,aud-to-mxn
aud,zar,aud-to-zar
aud,brl,aud-to-brl
cad,usd,cad-to-usd
cad,eur,cad-to-eur
cad,jpy,cad-to-jpy
cad,gbp,cad-to-gbp
cad,cny,cad-to-cny
cad,aud,cad-to-aud
cad,cad,cad-to-cad
cad,kwd,cad-to-kwd
cad,hkd,cad-to-hkd
cad,sgd,cad-to-sgd
cad,sek,cad-to-sek
cad,krw,cad-to-krw
cad,aed,cad-to-aed
cad,nzd,cad-to-nzd
cad,inr,cad-to-inr
cad,mxn,cad-to-mxn
cad,zar,cad-to-zar
cad,brl,cad-to-brl
kwd,usd,kwd-to-usd
kwd,eur,kwd-to-eur
kwd,jpy,kwd-to-jpy
kwd,gbp,kwd-to-gbp
kwd,cny,kwd-to-cny
kwd,aud,kwd-to-aud
kwd,cad,kwd-to-cad
kwd,kwd,kwd-to-kwd
kwd,hkd,kwd-to-hkd
kwd,sgd,kwd-to-sgd
kwd,sek,kwd-to-sek
kwd,krw,kwd-to-krw
kwd,aed,kwd-to-aed
kwd,nzd,kwd-to-nzd
kwd,inr,kwd-to-inr
kwd,mxn,kwd-to-mxn
kwd,zar,kwd-to-zar
kwd,brl,kwd-to-brl
hkd,usd,hkd-to-usd
hkd,eur,hkd-to-eur
hkd,jpy,hkd-to-jpy
hkd,gbp,hkd-to-gbp
hkd,cny,hkd-to-cny
hkd,aud,hkd-to-aud
hkd,cad,hkd-to-cad
hkd,kwd,hkd-to-kwd
hkd,hkd,hkd-to-hkd
hkd,sgd,hkd-to-sgd
hkd,sek,hkd-to-sek
hkd,krw,hkd-to-krw
hkd,aed,hkd-to-aed
hkd,nzd,hkd-to-nzd
hkd,inr,hkd-to-inr
hkd,mxn,hkd-to-mxn
hkd,zar,hkd-to-zar
hkd,brl,hkd-to-brl
sgd,usd,sgd-to-usd
sgd,eur,sgd-to-eur
sgd,jpy,sgd-to-jpy
sgd,gbp,sgd-to-gbp
sgd,cny,sgd-to-cny
sgd,aud,sgd-to-aud
sgd,cad,sgd-to-cad
sgd,kwd,sgd-to-kwd
sgd,hkd,sgd-to-hkd
sgd,sgd,sgd-to-sgd
sgd,sek,sgd-to-sek
sgd,krw,sgd-to-krw
sgd,aed,sgd-to-aed
sgd,nzd,sgd-to-nzd
sgd,inr,sgd-to-inr
sgd,mxn,sgd-to-mxn
sgd,zar,sgd-to-zar
sgd,brl,sgd-to-brl
sek,usd,sek-to-usd
sek,eur,sek-to-eur
sek,jpy,sek-to-jpy
sek,gbp,sek-to-gbp
sek,cny,sek-to-cny
sek,aud,sek-to-aud
sek,cad,sek-to-cad
sek,kwd,sek-to-kwd
sek,hkd,sek-to-hkd
sek,sgd,sek-to-sgd
sek,sek,sek-to-sek
sek,krw,sek-to-krw
sek,aed,sek-to-aed
sek,nzd,sek-to-nzd
sek,inr,sek-to-inr
sek,mxn,sek-to-mxn
sek,zar,sek-to-zar
sek,brl,sek-to-brl
krw,usd,krw-to-usd
krw,eur,krw-to-eur
krw,jpy,krw-to-jpy
krw,gbp,krw-to-gbp
krw,cny,krw-to-cny
krw,aud,krw-to-aud
krw,cad,krw-to-cad
krw,kwd,krw-to-kwd
krw,hkd,krw-to-hkd
krw,sgd,krw-to-sgd
krw,sek,krw-to-sek
krw,krw,krw-to-krw
krw,aed,krw-to-aed
krw,nzd,krw-to-nzd
krw,inr,krw-to-inr
krw,mxn,krw-to-mxn
krw,zar,krw-to-zar
krw,brl,krw-to-brl
aed,usd,aed-to-usd
aed,eur,aed-to-eur
aed,jpy,aed-to-jpy
aed,gbp,aed-to-gbp
aed,cny,aed-to-cny
aed,aud,aed-to-aud
aed,cad,aed-to-cad
aed,kwd,aed-to-kwd
aed,hkd,aed-to-hkd
aed,sgd,aed-to-sgd
aed,sek,aed-to-sek
aed,krw,aed-to-krw
aed,aed,aed-to-aed
aed,nzd,aed-to-nzd
aed,inr,aed-to-inr
aed,mxn,aed-to-mxn
aed,zar,aed-to-zar
aed,brl,aed-to-brl
nzd,usd,nzd-to-usd
nzd,eur,nzd-to-eur
nzd,jpy,nzd-to-jpy
nzd,gbp,nzd-to-gbp
nzd,cny,nzd-to-cny
nzd,aud,nzd-to-aud
nzd,cad,nzd-to-cad
nzd,kwd,nzd-to-kwd
nzd,hkd,nzd-to-hkd
nzd,sgd,nzd-to-sgd
nzd,sek,nzd-to-sek
nzd,krw,nzd-to-krw
nzd,aed,nzd-to-aed
nzd,nzd,nzd-to-nzd
nzd,inr,nzd-to-inr
nzd,mxn,nzd-to-mxn
nzd,zar,nzd-to-zar
nzd,brl,nzd-to-brl
inr,usd,inr-to-usd
inr,eur,inr-to-eur
inr,jpy,inr-to-jpy
inr,gbp,inr-to-gbp
inr,cny,inr-to-cny
inr,aud,inr-to-aud
inr,cad,inr-to-cad
inr,kwd,inr-to-kwd
inr,hkd,inr-to-hkd
inr,sgd,inr-to-sgd
inr,sek,inr-to-sek
inr,krw,inr-to-krw
inr,aed,inr-to-aed
inr,nzd,inr-to-nzd
inr,inr,inr-to-inr
inr,mxn,inr-to-mxn
inr,zar,inr-to-zar
inr,brl,inr-to-brl
mxn,usd,mxn-to-usd
mxn,eur,mxn-to-eur
mxn,jpy,mxn-to-jpy
mxn,gbp,mxn-to-gbp
mxn,cny,mxn-to-cny
mxn,aud,mxn-to-aud
mxn,cad,mxn-to-cad
mxn,kwd,mxn-to-kwd
mxn,hkd,mxn-to-hkd
mxn,sgd,mxn-to-sgd
mxn,sek,mxn-to-sek
mxn,krw,mxn-to-krw
mxn,aed,mxn-to-aed
mxn,nzd,mxn-to-nzd
mxn,inr,mxn-to-inr
mxn,mxn,mxn-to-mxn
mxn,zar,mxn-to-zar
mxn,brl,mxn-to-brl
zar,usd,zar-to-usd
zar,eur,zar-to-eur
zar,jpy,zar-to-jpy
zar,gbp,zar-to-gbp
zar,cny,zar-to-cny
zar,aud,zar-to-aud
zar,cad,zar-to-cad
zar,kwd,zar-to-kwd
zar,hkd,zar-to-hkd
zar,sgd,zar-to-sgd
zar,sek,zar-to-sek
zar,krw,zar-to-krw
zar,aed,zar-to-aed
zar,nzd,zar-to-nzd
zar,inr,zar-to-inr
zar,mxn,zar-to-mxn
zar,zar,zar-to-zar
zar,brl,zar-to-brl
brl,usd,brl-to-usd
brl,eur,brl-to-eur
brl,jpy,brl-to-jpy
brl,gbp,brl-to-gbp
brl,cny,brl-to-cny
brl,aud,brl-to-aud
brl,cad,brl-to-cad
brl,kwd,brl-to-kwd
brl,hkd,brl-to-hkd
brl,sgd,brl-to-sgd
brl,sek,brl-to-sek
brl,krw,brl-to-krw
brl,aed,brl-to-aed
brl,nzd,brl-to-nzd
brl,inr,brl-to-inr
brl,mxn,brl-to-mxn
brl,zar,brl-to-zar
brl,brl,brl-to-brl